timestamp,x,y,z
3706692,-0.3230426,9.688885,1.9334698
3706702,-0.31825677,9.868353,1.2802058
3706711,-0.36372203,9.583597,1.74443
3706721,-0.43790218,9.387379,2.3665862
3706730,-0.3804724,9.272519,2.8906329
3706739,-0.37329367,9.679314,2.6680925
3706749,-0.37807947,9.904246,2.4838386
3706758,-0.416366,10.004748,2.524518
3706767,-0.45465255,9.894675,2.6226273
3706777,-0.36850783,9.901854,2.2230117
3706786,-0.4139731,9.724778,2.112938
3706796,-0.43072346,9.614705,1.8951832
3706805,-0.40679437,9.483095,2.0985804
3706814,-0.34936458,9.480701,1.9454343
3706824,-0.36850783,9.459166,2.1153307
3706833,-0.33500713,9.483095,2.0985804
3706842,-0.20339718,9.554882,1.9406484
3706852,-0.14357449,9.67692,1.8688612
3706861,-0.2680057,9.638634,2.2062612
3706872,-0.2991135,9.751101,2.1990826
3706881,-0.21775463,9.801352,2.029186
3706891,-0.25604117,9.698457,2.079437
3706900,-0.32064968,9.530953,2.2852273
3706910,-0.2680057,9.492666,2.2445478
3706919,-0.18903974,9.574025,2.132081
3706929,-0.3565433,9.516596,1.9980782
3706938,-0.35415038,9.588383,1.9071478
3706947,-0.34936458,9.597955,1.7898953
3706956,-0.28475606,9.4998455,2.060294
3706965,-0.28475606,9.547704,2.1057591
3706975,-0.27279153,9.60274,2.112938
3706984,-0.34697166,9.621883,2.1392598
3706993,-0.2632199,9.686492,2.1679747
